Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,DayOfWeek
6,2011-02-18,1572117.54,0,59.61,3.045,214.7775231,6.858,2011,2,18,4
13,2011-03-25,1807545.43,0,42.38,3.435,128.6160645,7.47,2011,3,25,4
6,2010-05-28,1644470.66,0,78.89,2.759,212.412888,7.0920000000000005,2010,5,28,4
4,2010-05-28,1857533.7,0,62.25,2.756,126.1602258,7.896,2010,5,28,4
15,2011-06-03,695396.19,0,69.8,4.069,134.85516130000002,7.657999999999999,2011,6,3,4
20,2012-02-03,2203523.2,0,39.93,3.617,213.0236225,6.961,2012,2,3,4
14,2010-12-10,2600519.26,0,30.54,3.109,196.9195056,7.477,2010,12,10,4
8,2011-08-19,895066.5,0,82.92,3.554,219.07019680000005,6.425,2011,8,19,4
18,2010-10-15,1029618.1,0,52.02,2.878,132.7633548,9.331,2010,10,15,4
7,2011-05-13,414094.05,0,36.61,3.767,192.826069,8.595,2011,5,13,4
1,2012-03-16,1677472.78,0,64.74,3.734,221.2118132,7.348,2012,3,16,4
17,2010-10-01,829207.27,0,60.07,2.853,126.2346,6.885,2010,10,1,4
6,2010-04-30,1498080.16,0,68.91,2.78,211.8942725,7.0920000000000005,2010,4,30,4
13,2010-08-20,1997397.63,0,76.34,2.85,196.9195056,7.951,2010,8,20,4
2,2011-12-16,2432736.52,0,50.13,3.451,196.9195056,7.441,2011,12,16,4
7,2010-04-02,561145.14,0,38.26,2.725,189.7048215,8.963,2010,4,2,4
5,2011-05-13,290930.01,0,77.38,3.899,216.5343611,6.489,2011,5,13,4
18,2012-10-12,1074079.0,0,50.97,4.029,138.9117,8.243,2012,10,12,4
19,2010-03-26,1427023.45,0,39.07,2.963,131.863129,8.35,2010,3,26,4
19,2012-05-04,1405007.44,0,50.76,4.124,138.0332,8.15,2012,5,4,4
17,2012-10-12,919878.34,0,44.82,3.797,131.1083333,5.527,2012,10,12,4
3,2012-01-13,367438.62,0,51.86,3.261,196.9195056,6.832999999999998,2012,1,13,4
16,2011-05-20,435397.19,0,43.95,3.828,192.831317,6.339,2011,5,20,4
17,2010-04-16,757738.76,0,45.22,2.915,126.5621,6.635,2010,4,16,4
6,2011-08-26,1420405.41,0,62.25,3.523,217.2706543,6.925,2011,8,26,4
7,2012-02-10,563460.77,1,18.79,3.103,196.9195056,8.256,2012,2,10,4
14,2012-02-10,2077256.24,1,37.0,3.451,196.9195056,8.424,2012,2,10,4
19,2011-03-25,1266564.94,0,33.26,3.789,133.9587419,7.771,2011,3,25,4
3,2011-09-23,365248.94,0,80.19,3.467,219.7414914,7.567,2011,9,23,4
18,2011-04-15,988157.72,0,62.25,3.823,134.2784667,8.975,2011,4,15,4
4,2011-06-24,2008344.92,0,81.85,3.57,129.0663,5.9460000000000015,2011,6,24,4
5,2011-11-11,311906.7,0,60.71,3.297,218.5699621,6.3,2011,11,11,4
18,2012-04-27,961186.23,0,50.43,4.023,137.9781333,8.304,2012,4,27,4
16,2012-09-14,526525.16,0,62.25,3.659,198.1267184,6.061,2012,9,14,4
7,2011-08-26,629994.47,0,57.6,3.485,194.3796374,8.622,2011,8,26,4
1,2010-02-12,1641957.44,1,38.51,2.548,211.24216980000003,8.106,2010,2,12,4
2,2012-02-24,1861802.7,0,54.63,3.555,220.275944,7.057,2012,2,24,4
5,2010-07-30,268929.03,0,82.46,2.64,211.9270006,6.496,2010,7,30,4
19,2010-07-02,1549018.68,0,66.25,2.958,132.5218667,8.099,2010,7,2,4
1,2011-08-05,1624383.75,0,91.65,3.684,215.544618,7.9620000000000015,2011,8,5,4
16,2012-03-30,485095.41,0,48.29,3.75,197.4133259,6.162000000000001,2012,3,30,4
13,2012-06-01,2035431.39,0,61.11,3.788,130.95922579999998,5.965,2012,6,1,4
2,2010-11-12,1916812.74,0,59.69,2.728,211.6608975,8.163,2010,11,12,4
9,2010-06-25,509263.28,0,85.02,2.653,214.8965756,7.477,2010,6,25,4
14,2011-03-25,1879451.23,0,41.76,3.625,184.9943679,8.549,2011,3,25,4
10,2012-07-06,1805999.79,0,86.87,3.666,130.7196333,7.17,2012,7,6,4
13,2011-09-23,1847430.96,0,63.6,3.648,129.5183333,6.877000000000002,2011,9,23,4
8,2010-08-27,888816.78,0,74.92,2.619,214.9362793,6.315,2010,8,27,4
6,2010-07-30,1532308.78,0,62.25,2.64,212.8944846,6.973,2010,7,30,4
14,2012-02-17,2020550.99,0,36.85,3.695,189.8424834,8.424,2012,2,17,4
14,2011-05-06,2095599.93,0,62.25,4.046,185.9374378,8.521,2011,5,6,4
10,2012-03-02,1990371.02,0,57.62,3.882,130.6457931,7.545,2012,3,2,4
5,2012-10-19,313358.15,0,69.17,3.594,224.0192873,5.4220000000000015,2012,10,19,4
4,2011-12-16,2771397.17,0,36.44,3.149,129.8980645,5.143,2011,12,16,4
18,2010-08-06,1166117.85,0,73.67,2.792,132.6141935,9.342,2010,8,6,4
3,2010-02-05,461622.22,0,45.71,2.572,214.4248812,7.3679999999999986,2010,2,5,4
18,2010-12-17,1588430.71,0,27.4,3.139,196.9195056,9.331,2010,12,17,4
13,2010-12-10,2461468.35,0,36.78,2.817,126.7934,7.795,2010,12,10,4
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787000000000001,2010,8,27,4
1,2012-10-19,1508068.77,0,67.97,3.594,223.4257233,7.477,2012,10,19,4
20,2010-06-25,1973135.87,0,75.17,2.8080000000000003,204.5675459,7.856,2010,6,25,4
15,2012-03-16,570611.23,0,47.42,4.021,137.5843871,7.943,2012,3,16,4
1,2011-11-18,1539483.7,0,62.25,3.3080000000000003,218.2205088,7.866,2011,11,18,4
20,2010-09-24,1789687.65,0,69.37,3.451,196.9195056,7.527,2010,9,24,4
9,2010-11-19,519823.3,0,49.96,2.7710000000000004,215.43728540000004,6.56,2010,11,19,4
2,2011-01-07,1758050.79,0,44.69,2.9760000000000004,211.0648881,8.027999999999999,2011,1,7,4
3,2012-05-11,431985.36,0,75.19,3.688,225.2351496,6.664,2012,5,11,4
9,2010-07-09,485389.15,0,78.51,2.642,214.6564301,6.442,2010,7,9,4
14,2011-07-15,1953544.76,0,78.47,3.76,186.1399808,8.625,2011,7,15,4
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,14,4
8,2010-03-12,860336.16,0,49.76,3.451,214.7492449,6.299,2010,3,12,4
5,2010-04-30,298697.84,0,67.53,3.451,210.939388,7.477,2010,4,30,4
10,2010-06-25,1768172.31,0,90.32,3.451,126.1266,9.524,2010,6,25,4
13,2010-07-02,2018314.71,0,78.82,2.814,126.1392,7.951,2010,7,2,4
3,2010-06-18,364076.85,0,83.52,2.637,214.7858259,7.343,2010,6,18,4
2,2012-01-06,1799520.14,0,46.75,3.451,219.355063,7.057,2012,1,6,4
4,2010-12-10,2302504.86,0,42.4,2.86,126.7934,7.127000000000002,2010,12,10,4
3,2012-06-22,419497.95,0,82.7,3.346,225.3068615,6.664,2012,6,22,4
19,2010-07-30,1366395.96,0,72.83,2.932,132.5983871,8.099,2010,7,30,4
14,2010-02-26,2095591.63,0,34.89,3.451,196.9195056,8.992,2010,2,26,4
8,2010-02-12,994801.4,1,33.34,2.548,214.62141890000004,6.299,2010,2,12,4
18,2010-05-28,1256282.79,0,69.12,2.906,132.2939355,7.477,2010,5,28,4
20,2010-12-31,1799737.79,1,28.85,3.179,204.6432267,7.484,2010,12,31,4
19,2012-06-22,1468350.36,0,62.25,3.722,138.1629,8.15,2012,6,22,4
2,2010-02-19,2124451.54,0,39.69,2.514,210.9451605,7.477,2010,2,19,4
13,2012-01-20,1811606.21,0,32.71,3.451,130.27922579999998,6.104,2012,1,20,4
11,2010-11-26,1757242.51,1,69.9,2.735,215.0614025,7.564,2010,11,26,4
15,2010-02-19,660838.75,0,62.25,2.909,131.637,7.477,2010,2,19,4
7,2012-04-20,457340.06,0,39.3,3.936,197.7227385,8.09,2012,4,20,4
9,2010-06-18,513073.87,0,82.99,2.637,215.0166484,6.384,2010,6,18,4
14,2011-01-07,1864746.1,0,34.32,3.193,182.5983058,7.477,2011,1,7,4
8,2010-09-17,836707.85,0,75.32,2.582,214.8785562,6.315,2010,9,17,4
5,2011-07-29,275142.17,0,89.42,3.682,216.0464364,6.529,2011,7,29,4
7,2012-09-07,597876.55,1,57.84,3.596,198.0950484,7.872000000000001,2012,9,7,4
1,2011-05-27,1466046.67,0,62.25,3.786,215.5037878,7.682,2011,5,27,4
19,2011-06-10,1467473.63,0,68.26,3.451,134.94254840000002,7.657999999999999,2011,6,10,4
3,2011-11-18,398838.97,0,63.91,3.3080000000000003,221.6432852,7.197,2011,11,18,4
16,2010-07-09,614253.33,0,61.79,2.7110000000000003,189.5231276,6.867999999999999,2010,7,9,4
13,2011-08-12,1970341.38,0,75.95,3.606,129.2015806,6.877000000000002,2011,8,12,4
13,2012-03-16,2025582.62,0,52.5,3.529,130.82619350000002,6.104,2012,3,16,4
17,2010-11-12,855459.96,0,62.25,2.8310000000000004,126.5461613,7.477,2010,11,12,4
4,2011-07-22,2036231.39,0,82.84,3.627,129.1507742,5.644,2011,7,22,4
4,2011-07-08,2066541.86,0,84.59,3.469,129.1125,5.644,2011,7,8,4
6,2011-04-22,1639358.93,0,74.24,3.807,217.0146941,6.855,2011,4,22,4
7,2012-05-25,532739.77,0,50.6,3.804,197.5886046,8.09,2012,5,25,4
5,2010-11-12,301827.36,0,62.37,3.451,212.5604113,6.768,2010,11,12,4
